POL_ID,TAB_ORIGIN
55100100873,Overcharged
55100102053,Overcharged
55100103586,Overcharged
55100103749,Overcharged
55100105992,Overcharged
55100106143,Overcharged
55100106936,Overcharged
55100107197,Overcharged
55100107734,Overcharged
55100107915,Overcharged
55100110413,Overcharged
55100111462,Overcharged
55100111578,Overcharged
55100112369,Overcharged
55100112382,Overcharged
55100112386,Overcharged
55100112720,Overcharged
55100113300,Overcharged
55100113836,Overcharged
55100113867,Overcharged
55100113901,Overcharged
55100114162,Overcharged
55100114567,Overcharged
55100114772,Overcharged
55100114814,Overcharged
55100115074,Overcharged
55100115101,Overcharged
55100115131,Overcharged
55100115385,Overcharged
55100115505,Overcharged
55100115559,Overcharged
55100115686,Overcharged
55100115727,Overcharged
55100115794,Overcharged
55100115963,Overcharged
55100115998,Overcharged
55100116006,Overcharged
55100116096,Overcharged
55100116306,Overcharged
55100116380,Overcharged
55100117043,Overcharged
55100117266,Overcharged
55100117421,Overcharged
55100117451,Overcharged
55100117494,Overcharged
55100117690,Overcharged
55100117824,Overcharged
55100118578,Overcharged
55100118725,Overcharged
55100119097,Overcharged
55100119348,Overcharged
55100119358,Overcharged
55100119511,Overcharged
55100119877,Overcharged
55100119943,Overcharged
55100120208,Overcharged
55100120554,Overcharged
55100120790,Overcharged
55100120907,Overcharged
55100120944,Overcharged
55100121025,Overcharged
55100122052,Overcharged
55100122533,Overcharged
55100122742,Overcharged
55100122791,Overcharged
55100122875,Overcharged
55100123674,Overcharged
55100124133,Overcharged
55100125323,Overcharged
55100127453,Overcharged
55100128265,Overcharged
55100130321,Overcharged
55100130637,Overcharged
55100130739,Overcharged
55100131677,Overcharged
55100132073,Overcharged
55100132116,Overcharged
55100132251,Overcharged
55100132266,Overcharged
55100132983,Overcharged
55100133538,Overcharged
55100133715,Overcharged
55100133783,Overcharged
55100133887,Overcharged
55100133910,Overcharged
55100134167,Overcharged
55100134674,Overcharged
55100134943,Overcharged
55100135349,Overcharged
55100135571,Overcharged
55100135945,Overcharged
55100136720,Overcharged
55100136821,Overcharged
55100137220,Overcharged
55100137355,Overcharged
55100137574,Overcharged
55100137586,Overcharged
55100137832,Overcharged
55100137980,Overcharged
55100138215,Overcharged
55100138429,Overcharged
55100138702,Overcharged
55100139002,Overcharged
55100139189,Overcharged
55100139570,Overcharged
55100139772,Overcharged
55100139939,Overcharged
55100140061,Overcharged
55100140371,Overcharged
55100140818,Overcharged
55100141294,Overcharged
55100141463,Overcharged
55100141739,Overcharged
55100142796,Overcharged
55100142837,Overcharged
55100143084,Overcharged
55100143393,Overcharged
55100143551,Overcharged
55100144021,Overcharged
55100144255,Overcharged
55100144262,Overcharged
55100144270,Overcharged
55100144357,Overcharged
55100144506,Overcharged
55100144788,Overcharged
55100144973,Overcharged
55100145262,Overcharged
55100145485,Overcharged
55100145620,Overcharged
55100145766,Overcharged
55100146087,Overcharged
55100146103,Overcharged
55100146619,Overcharged
55100146666,Overcharged
55100147220,Overcharged
55100147541,Overcharged
55100147592,Overcharged
55100147609,Overcharged
55100147639,Overcharged
55100147802,Overcharged
55100148066,Overcharged
55100148171,Overcharged
55100148519,Overcharged
55100148551,Overcharged
55100148665,Overcharged
55100148890,Overcharged
55100149081,Overcharged
55100149276,Overcharged
55100149299,Overcharged
55100149771,Overcharged
55100149775,Overcharged
55100150433,Overcharged
55100150708,Overcharged
55100150843,Overcharged
55100150862,Overcharged
55100150923,Overcharged
55100151054,Overcharged
55100151179,Overcharged
55100151320,Overcharged
55100151430,Overcharged
55100151696,Overcharged
55100151700,Overcharged
55100152142,Overcharged
55100152820,Overcharged
55100153434,Overcharged
55100154364,Overcharged
55100154503,Overcharged
55100154811,Overcharged
55100155274,Overcharged
55100155429,Overcharged
55100155507,Overcharged
55100155538,Overcharged
55100155639,Overcharged
55100155766,Overcharged
55100155788,Overcharged
55100155900,Overcharged
55100156095,Overcharged
55100156193,Overcharged
55100156291,Overcharged
55100156353,Overcharged
55100156916,Overcharged
55100157160,Overcharged
55100157205,Overcharged
55100157214,Overcharged
55100157422,Overcharged
55100157451,Overcharged
55100157635,Overcharged
55100157944,Overcharged
55100158025,Overcharged
55100158123,Overcharged
55100158229,Overcharged
55100158257,Overcharged
55100158714,Overcharged
55100159125,Overcharged
55100159302,Overcharged
55100159681,Overcharged
55100159690,Overcharged
55100160212,Overcharged
55100160313,Overcharged
55100160334,Overcharged
55100161090,Overcharged
55100161463,Overcharged
55100161687,Overcharged
55100161703,Overcharged
55100161768,Overcharged
55100162262,Overcharged
55100162580,Overcharged
55100162644,Overcharged
55100162822,Overcharged
55100163151,Overcharged
55100163210,Overcharged
55100163536,Overcharged
55100164297,Overcharged
55100164481,Overcharged
55100165495,Overcharged
55100165745,Overcharged
55100165922,Overcharged
55100166093,Overcharged
55100166254,Overcharged
